degree-program,current-semester,hours-study-per-day-average,hours-per-day-use-mobile phone,GPA-current/previous-semester,expected-GPA-this-course/semester,hours-sleep-per-night,average-class-attendance,hours-per-day-use-social-media-apps,use-mobile-during-study-sessions,preferred-study-time,primary-study-method,revise-within-24-hours-after-class,start–preparing-exams,academic-stress-level,motivation-level,procrastinate
BS Mathematics,5,5.3,3.4,1.58,3.09,6.1,79.6,3.5,Sometimes,Evening,Mixed,Often,2–3 days before,5,1,No
BS English,6,1.5,4.2,2.16,3.75,10.6,81.0,4.5,Sometimes,Late night,Mixed,Sometimes,1 week before,5,5,Sometimes
BS Mathematics,1,2.0,4.2,1.5,3.72,5.0,90.2,3.3,Always,Afternoon,Mixed,Never,2–3 days before,0,5,Yes
BS Mathematics,5,5.5,3.7,1.74,3.62,12.5,70.5,1.7,Rarely,Late night,Mixed,Sometimes,Throughout the semester,3,3,Sometimes
BS Data Science,5,1.5,3.7,4.0,2.94,5.6,85.6,2.9,Often,Morning,Mixed,Rarely,1 week before,4,4,Sometimes
BS Software Engineering,7,1.6,3.5,3.39,3.75,6.4,78.5,1.8,Sometimes,Late night,Group study,Rarely,Last day,5,1,Yes
BS AI,5,3.5,1.5,3.31,3.28,7.3,77.6,0.5,Rarely,Late night,Mixed,Rarely,Throughout the semester,0,2,No
BS Accounting & finance,4,1.5,3.8,1.93,3.28,6.6,84.3,2.1,Often,Morning,Video lectures,Never,1 week before,3,3,Yes
BS Data Science,6,1.6,4.5,3.72,3.62,6.6,97.5,4.5,Sometimes,Late night,Mixed,Sometimes,1 week before,5,1,Sometimes
BS AI,5,5.5,3.1,2.96,3.6,6.6,95.4,0.9,Sometimes,Late night,Mixed,Sometimes,Last day,5,3,Yes
BS Data Science,5,2.5,2.2,3.48,3.26,2.5,94.0,3.5,Sometimes,Evening,Mixed,Often,2–3 days before,0,2,Sometimes
BBA,1,4.9,2.3,3.72,2.74,6.3,95.3,3.9,Sometimes,Evening,Mixed,Rarely,1 week before,3,1,No
BS Data Science,5,1.6,3.3,4.0,3.33,5.7,86.6,3.1,Sometimes,Morning,Mixed,Sometimes,Throughout the semester,5,3,Sometimes
BS Computer Science,2,5.5,3.2,3.49,3.26,7.2,78.3,2.0,Never,Evening,Video lectures,Never,Throughout the semester,4,1,Yes
BS Data Science,2,2.0,1.5,1.69,3.31,2.7,94.6,1.5,Rarely,Afternoon,Mixed,Rarely,Throughout the semester,3,1,Sometimes
BS Data Science,4,5.2,1.7,0.0,3.75,7.1,93.0,3.1,Rarely,Late night,Video lectures,Rarely,Throughout the semester,5,2,Yes
BS Data Science,2,2.0,3.7,0.0,3.23,11.1,83.6,3.8,Sometimes,Late night,Practice questions,Often,Last day,5,1,Sometimes
BS Software Engineering,5,1.8,3.3,1.83,3.18,6.9,66.3,4.2,Sometimes,Afternoon,Mixed,Often,1 week before,5,1,Yes
BS Data Science,4,1.5,3.8,2.76,3.15,5.7,82.5,3.8,Always,Morning,Mixed,Sometimes,1 week before,4,3,Yes
BS AI,7,3.6,2.3,2.08,3.3,6.8,69.9,3.2,Often,Morning,Mixed,Always,Throughout the semester,5,3,Yes
BS Data Science,3,2.1,3.3,3.77,3.33,5.2,76.7,2.9,Rarely,Evening,Mixed,Never,1 week before,5,1,Yes
BS Accounting & finance,1,1.5,4.5,3.51,3.26,6.5,90.0,4.0,Sometimes,Late night,Mixed,Sometimes,1 week before,4,4,Sometimes
BBA,5,1.8,1.5,2.44,3.66,6.1,81.8,2.3,Sometimes,Afternoon,Mixed,Rarely,2–3 days before,5,3,Yes
BS Data Science,4,1.5,3.7,2.1,3.74,6.8,87.1,3.1,Sometimes,Late night,Mixed,Rarely,2–3 days before,2,3,Sometimes
BS Data Science,5,1.5,3.1,3.37,3.29,2.5,97.5,3.0,Sometimes,Evening,Practice questions,Sometimes,Throughout the semester,3,2,No
BS Mathematics,1,1.7,4.5,3.36,3.74,6.8,83.8,1.0,Sometimes,Evening,Mixed,Always,Throughout the semester,0,5,Sometimes
Docter of optometry,5,1.5,2.4,4.0,3.53,6.3,95.1,3.3,Always,Morning,Mixed,Sometimes,1 week before,4,1,No
BS Data Science,4,1.5,4.5,2.4,3.55,6.5,94.1,4.2,Rarely,Late night,Mixed,Sometimes,2–3 days before,4,3,Sometimes
BBA,5,1.8,3.8,2.92,3.23,6.6,95.5,3.3,Never,Late night,Mixed,Rarely,1 week before,3,5,Yes
BS Data Science,5,1.7,4.3,4.0,3.53,6.7,87.8,2.1,Sometimes,Evening,Mixed,Always,Throughout the semester,4,3,No
BS Data Science,6,4.6,3.1,0.83,3.26,6.7,82.1,1.9,Sometimes,Late night,Mixed,Never,Last day,4,1,Yes
BS Data Science,7,2.0,1.7,1.83,2.49,6.5,71.7,1.7,Rarely,Afternoon,Mixed,Rarely,Throughout the semester,3,1,Sometimes
BS Data Science,5,1.5,3.6,2.73,3.38,7.1,95.6,4.5,Sometimes,Morning,Mixed,Rarely,Last day,4,2,Yes
BS Data Science,5,1.7,4.5,2.99,3.41,6.9,82.7,3.0,Sometimes,Morning,Mixed,Never,Last day,5,1,Sometimes
BBA,5,1.7,4.5,0.0,2.37,6.6,84.8,4.3,Sometimes,Morning,Mixed,Rarely,1 week before,4,3,Yes
BS Data Science,3,5.5,1.7,2.18,3.18,7.4,70.1,1.3,Rarely,Late night,Video lectures,Never,Throughout the semester,5,1,Sometimes
BS Data Science,2,4.7,4.4,4.0,3.7,6.0,88.7,4.5,Sometimes,Evening,Mixed,Sometimes,1 week before,3,5,Yes
BS Data Science,2,1.7,2.4,1.8,3.21,6.7,85.0,4.5,Sometimes,Late night,Mixed,Always,Last day,4,4,Sometimes
Docter of optometry,5,1.5,3.5,4.0,3.34,6.3,97.5,3.5,Sometimes,Morning,Mixed,Sometimes,1 week before,4,2,No
BS Data Science,5,4.6,1.6,4.0,3.55,6.2,82.6,2.8,Sometimes,Late night,Video lectures,Rarely,Throughout the semester,4,2,Sometimes
BS Urdu,7,1.6,3.5,3.13,3.27,7.2,97.5,4.3,Never,Afternoon,Mixed,Rarely,1 week before,3,2,Yes
Radiology,5,2.1,1.5,2.61,3.33,10.3,89.3,0.9,Rarely,Late night,Mixed,Never,Throughout the semester,4,2,Sometimes
BS Computer Science,6,1.7,3.4,3.2,3.75,6.3,85.6,4.5,Rarely,Late night,Mixed,Always,1 week before,4,1,Sometimes
BS Data Science,6,2.1,3.2,3.22,3.25,6.7,90.7,1.5,Always,Morning,Reading notes,Never,Last day,3,1,Sometimes
BS Software Engineering,1,1.5,4.5,2.68,3.71,10.7,83.3,2.1,Often,Late night,Mixed,Sometimes,1 week before,0,4,Sometimes
Docter of optometry,4,5.5,3.5,3.66,3.32,6.7,91.2,2.9,Sometimes,Evening,Practice questions,Never,1 week before,3,2,No
BS Software Engineering,5,4.2,3.4,4.0,3.24,6.9,97.5,1.5,Always,Late night,Mixed,Often,Last day,5,2,Yes
Radiology,2,1.7,3.9,2.3,3.16,13.2,80.9,1.9,Never,Late night,Mixed,Always,Last day,5,3,Yes
BS Data Science,4,1.5,4.5,3.98,3.21,6.9,89.2,4.5,Sometimes,Morning,Mixed,Sometimes,1 week before,2,4,Sometimes
BS Data Science,1,2.0,4.5,3.05,3.75,6.0,95.5,4.0,Sometimes,Evening,Mixed,Often,2–3 days before,5,3,No
BS Computer Science,7,4.5,3.3,3.15,3.18,6.9,81.6,4.0,Rarely,Late night,Group study,Often,1 week before,0,1,Yes
BS Software Engineering,5,1.7,3.5,4.0,3.75,6.2,60.0,4.5,Rarely,Late night,Mixed,Rarely,1 week before,5,1,Sometimes
BS Mathematics,5,1.5,3.4,3.14,3.75,7.0,89.5,3.2,Rarely,Morning,Mixed,Rarely,2–3 days before,3,1,Sometimes
BBA,3,1.8,3.6,2.8,3.23,6.0,87.7,4.5,Never,Morning,Mixed,Rarely,Last day,5,1,Sometimes
BS Software Engineering,6,1.9,3.5,2.93,3.22,6.2,94.4,3.1,Sometimes,Morning,Mixed,Never,1 week before,4,2,Sometimes
BS Accounting & finance,1,1.5,4.5,3.82,3.27,5.8,92.8,1.9,Sometimes,Late night,Video lectures,Never,Throughout the semester,1,2,Yes
BS Software Engineering,4,1.5,3.3,3.52,3.33,5.1,75.2,2.0,Sometimes,Evening,Mixed,Never,1 week before,4,4,Sometimes
BS Data Science,4,2.1,3.5,2.99,3.27,6.8,90.0,4.1,Sometimes,Late night,Reading notes,Never,1 week before,4,2,No
BSCS,5,1.9,3.4,3.39,3.6,6.6,86.7,2.9,Rarely,Afternoon,Mixed,Sometimes,Last day,4,5,Sometimes
BS Mathematics,2,1.5,2.8,2.43,3.38,6.9,76.5,2.4,Rarely,Late night,Mixed,Often,Throughout the semester,3,3,Yes
BS Computer Science,4,4.8,1.5,0.0,3.16,7.6,78.4,2.7,Rarely,Late night,Mixed,Rarely,Throughout the semester,5,1,Sometimes
BS Data Science,3,2.3,1.5,1.52,3.22,14.5,83.6,1.8,Sometimes,Evening,Mixed,Rarely,Throughout the semester,5,1,Yes
BS Data Science,5,4.4,1.5,1.45,3.32,12.8,79.3,2.5,Rarely,Afternoon,Mixed,Often,Throughout the semester,3,4,Yes
BS Data Science,4,4.5,3.6,2.97,3.18,14.3,78.0,3.4,Sometimes,Late night,Mixed,Always,2–3 days before,2,5,Sometimes
BS AI,3,2.2,2.4,1.63,3.15,7.7,96.0,0.1,Rarely,Morning,Video lectures,Rarely,2–3 days before,4,1,Sometimes
BS Computer Science,3,3.4,3.7,3.85,3.75,6.5,92.3,1.6,Sometimes,Morning,Mixed,Sometimes,1 week before,2,1,Sometimes
Radiology,1,2.0,1.5,2.48,3.62,7.1,88.2,3.9,Rarely,Afternoon,Mixed,Rarely,1 week before,2,4,Sometimes
BS English,7,1.6,4.5,3.47,3.18,6.6,78.7,3.4,Sometimes,Evening,Video lectures,Never,2–3 days before,5,1,Sometimes
BS Data Science,2,2.5,2.1,2.34,3.55,5.7,91.9,3.7,Rarely,Morning,Practice questions,Often,Throughout the semester,1,5,Sometimes
BS Software Engineering,1,4.6,3.8,3.35,2.79,6.2,77.6,2.6,Always,Evening,Mixed,Sometimes,Throughout the semester,3,3,Yes
BS Data Science,7,1.5,3.6,3.25,3.13,6.1,89.4,4.2,Sometimes,Late night,Video lectures,Never,1 week before,5,2,Sometimes
BS Accounting & finance,2,4.1,2.3,0.0,3.06,6.2,92.8,1.8,Sometimes,Evening,Reading notes,Sometimes,1 week before,5,1,Sometimes
BBA,1,5.5,1.5,4.0,3.73,6.6,97.5,2.6,Often,Late night,Practice questions,Often,2–3 days before,3,2,No
BS Data Science,3,1.5,4.0,2.94,2.62,6.4,89.3,4.5,Often,Morning,Mixed,Never,Last day,2,1,Yes
BS Data Science,4,2.2,1.5,1.8,3.34,7.3,79.8,2.3,Always,Evening,Mixed,Never,2–3 days before,5,1,Yes
BBA,4,1.5,3.1,1.56,3.11,11.7,60.0,2.6,Often,Late night,Mixed,Rarely,Last day,4,4,Sometimes
BS Software Engineering,5,1.5,3.5,3.69,2.94,7.1,71.3,3.9,Rarely,Morning,Mixed,Sometimes,Throughout the semester,2,4,Sometimes
BSCS,5,1.5,3.2,3.57,3.75,9.4,92.5,4.2,Sometimes,Evening,Practice questions,Rarely,Last day,5,1,No
BS Software Engineering,7,5.2,2.5,3.37,3.56,7.8,86.2,2.2,Sometimes,Morning,Mixed,Rarely,Throughout the semester,5,1,Yes
BS Software Engineering,5,1.5,3.4,4.0,3.59,5.5,87.1,2.8,Sometimes,Evening,Mixed,Sometimes,1 week before,4,3,Yes
BS Data Science,2,4.3,3.7,2.88,3.62,6.3,96.1,2.7,Sometimes,Late night,Practice questions,Sometimes,2–3 days before,4,3,Sometimes
BS Data Science,5,3.8,1.5,2.66,3.18,7.0,87.5,3.0,Always,Afternoon,Mixed,Rarely,Throughout the semester,4,1,Sometimes
BS Data Science,1,4.3,3.6,2.64,2.62,12.9,86.2,3.0,Sometimes,Evening,Mixed,Rarely,Throughout the semester,2,2,No
BS Data Science,5,1.5,3.6,1.61,3.33,5.7,82.6,1.0,Rarely,Late night,Mixed,Rarely,Last day,4,2,Sometimes
BS Software Engineering,4,1.6,2.2,2.11,3.23,6.4,82.6,3.5,Sometimes,Afternoon,Group study,Often,1 week before,1,4,Yes
BS Software Engineering,1,1.5,3.6,4.0,3.29,7.1,81.2,4.5,Sometimes,Morning,Mixed,Rarely,1 week before,4,3,Sometimes
BS AI,4,4.2,3.7,4.0,3.06,6.2,96.7,3.3,Sometimes,Morning,Video lectures,Rarely,Last day,3,2,No
DPT,5,2.0,1.5,1.77,3.36,7.2,94.4,2.6,Always,Late night,Mixed,Often,Throughout the semester,5,2,Sometimes
BS Data Science,2,2.1,1.5,1.86,3.3,7.1,73.6,2.5,Rarely,Evening,Mixed,Never,Last day,5,2,Sometimes
Radiology,5,4.0,3.8,2.65,3.74,12.4,79.7,3.8,Rarely,Morning,Mixed,Never,Throughout the semester,3,4,Yes
BS Data Science,6,2.3,3.9,0.0,3.2,10.6,79.5,3.5,Sometimes,Late night,Video lectures,Rarely,Last day,5,1,No
BS Software Engineering,5,1.8,3.4,3.18,2.6,6.7,88.8,3.6,Rarely,Evening,Video lectures,Rarely,Last day,5,1,Yes
BS Urdu,5,1.6,3.6,2.48,2.25,6.6,90.4,2.1,Often,Morning,Practice questions,Rarely,1 week before,5,1,Sometimes
BBA,3,1.6,4.5,4.0,3.74,6.3,95.7,3.0,Sometimes,Late night,Mixed,Sometimes,Last day,0,5,Sometimes
BS Data Science,2,1.5,2.1,2.52,3.59,6.4,88.8,4.5,Rarely,Morning,Mixed,Sometimes,1 week before,1,5,Sometimes
BS Data Science,5,5.2,3.6,2.85,2.79,7.0,96.5,1.5,Sometimes,Afternoon,Mixed,Sometimes,Throughout the semester,3,2,Sometimes
BS Data Science,5,5.5,2.9,0.0,3.12,8.4,97.4,1.8,Sometimes,Late night,Mixed,Sometimes,Throughout the semester,3,1,Sometimes
BS Data Science,3,1.6,4.5,2.48,2.5,7.2,74.4,1.3,Sometimes,Evening,Video lectures,Sometimes,Throughout the semester,5,2,Yes
BS Software Engineering,5,5.5,2.9,2.51,3.35,10.8,80.7,3.9,Sometimes,Morning,Video lectures,Rarely,1 week before,4,3,Sometimes
BS Data Science,5,1.7,4.0,3.82,3.2,5.7,88.6,1.1,Sometimes,Evening,Mixed,Rarely,Last day,5,1,Sometimes
BS Accounting & finance,2,1.5,4.4,1.41,3.28,6.5,75.6,2.5,Rarely,Late night,Mixed,Often,2–3 days before,5,2,Sometimes
Docter of optometry,7,1.8,3.4,2.07,3.43,6.9,69.8,1.6,Often,Morning,Mixed,Never,Last day,5,2,Yes
BS AI,5,2.5,1.5,1.97,3.25,6.1,76.5,3.7,Sometimes,Late night,Mixed,Never,Last day,5,1,Yes
BS Software Engineering,1,2.2,2.0,2.54,3.71,10.8,94.0,2.6,Often,Late night,Mixed,Rarely,1 week before,3,5,Sometimes
Radiology,1,1.7,4.5,2.39,3.71,10.0,93.5,0.5,Often,Afternoon,Mixed,Often,2–3 days before,0,2,Sometimes
Docter of optometry,5,3.6,2.3,0.36,3.42,6.0,90.1,1.0,Sometimes,Late night,Mixed,Rarely,Throughout the semester,4,3,Yes
BS English,4,4.1,4.5,3.3,3.61,9.5,88.4,2.0,Sometimes,Evening,Mixed,Sometimes,1 week before,2,5,No
BSCS,7,1.5,3.6,2.66,2.93,6.4,91.0,2.0,Never,Late night,Mixed,Often,1 week before,2,2,Sometimes
Radiology,5,2.0,3.7,3.1,3.21,6.7,70.4,3.2,Rarely,Morning,Reading notes,Rarely,1 week before,2,1,Yes
BS Data Science,5,1.6,3.2,4.0,3.28,7.1,97.5,4.5,Sometimes,Morning,Mixed,Never,1 week before,1,2,No
BS Data Science,5,1.5,4.0,0.0,2.66,5.7,81.1,4.5,Often,Late night,Mixed,Sometimes,2–3 days before,5,4,Yes
BS Software Engineering,5,1.5,3.4,4.0,3.75,6.5,83.8,4.5,Sometimes,Evening,Video lectures,Rarely,1 week before,5,1,No
BS Data Science,1,1.5,4.5,3.04,3.7,6.6,84.4,1.5,Sometimes,Late night,Mixed,Sometimes,2–3 days before,4,5,Sometimes
BS Data Science,5,1.5,4.3,3.98,3.24,6.1,95.3,4.3,Sometimes,Morning,Mixed,Never,Last day,4,1,No
BS Data Science,4,2.1,4.2,4.0,3.22,6.6,97.5,1.7,Rarely,Late night,Mixed,Never,Last day,5,2,No
BS AI,7,4.1,3.4,1.67,3.2,11.1,74.5,2.4,Rarely,Late night,Mixed,Never,Throughout the semester,3,1,Sometimes
Docter of optometry,1,1.6,4.5,2.89,3.67,6.5,88.1,2.6,Always,Afternoon,Mixed,Sometimes,Throughout the semester,2,4,Sometimes
BS Data Science,5,3.8,3.8,3.52,3.71,10.7,82.3,4.5,Sometimes,Late night,Mixed,Often,Throughout the semester,2,4,No
BBA,1,2.3,3.7,3.72,3.62,6.3,96.5,3.9,Always,Morning,Group study,Always,2–3 days before,4,1,Yes
BS Mathematics,4,1.9,1.5,2.61,3.49,9.7,97.5,1.3,Often,Afternoon,Practice questions,Never,2–3 days before,4,1,Sometimes
BS Data Science,6,1.5,3.7,2.42,3.22,6.8,64.8,4.5,Always,Morning,Mixed,Never,Last day,5,1,Yes
BBA,5,1.8,3.8,1.56,3.25,9.9,85.8,1.4,Often,Late night,Mixed,Sometimes,Last day,5,3,Sometimes
BS Software Engineering,2,1.9,3.8,2.62,3.31,6.0,95.7,4.5,Always,Late night,Mixed,Sometimes,1 week before,5,2,Sometimes
Radiology,5,2.0,2.8,3.86,3.58,6.3,93.7,4.4,Always,Evening,Mixed,Never,1 week before,2,2,Yes
BS Software Engineering,5,1.5,3.9,3.98,3.75,6.8,94.1,3.6,Rarely,Evening,Mixed,Rarely,1 week before,5,4,Sometimes
BBA,5,4.6,3.4,2.18,3.17,6.4,86.8,2.7,Rarely,Late night,Mixed,Rarely,Throughout the semester,4,2,Yes
BS Software Engineering,1,3.3,2.6,3.05,3.42,6.3,81.0,0.6,Rarely,Evening,Mixed,Sometimes,Throughout the semester,5,4,No
BS Accounting & finance,1,5.5,4.3,3.33,3.19,6.2,90.5,3.2,Sometimes,Morning,Mixed,Rarely,2–3 days before,5,2,Sometimes
Radiology,1,2.0,3.3,2.27,3.21,6.1,77.0,0.8,Often,Late night,Mixed,Sometimes,1 week before,5,2,Sometimes
BBA,5,2.2,3.2,3.55,3.75,6.5,97.5,0.8,Always,Morning,Video lectures,Never,1 week before,5,1,Sometimes
BS Software Engineering,2,3.1,3.5,2.06,3.06,6.0,76.7,1.1,Sometimes,Evening,Mixed,Always,Throughout the semester,2,3,Yes
BS Software Engineering,5,1.7,4.5,2.25,3.75,6.4,86.4,3.3,Sometimes,Late night,Mixed,Never,1 week before,4,5,Sometimes
BS Urdu,4,1.5,4.1,4.0,3.72,6.4,84.6,4.0,Sometimes,Morning,Mixed,Sometimes,2–3 days before,3,5,Yes
BS AI,6,1.6,4.3,2.93,3.75,14.5,73.3,1.0,Rarely,Afternoon,Mixed,Sometimes,1 week before,2,3,Sometimes
Docter of optometry,5,2.0,3.2,3.6,3.75,6.9,94.4,4.3,Sometimes,Morning,Mixed,Rarely,1 week before,5,1,Sometimes
BS Urdu,2,1.9,2.5,4.0,3.75,3.6,97.5,4.5,Sometimes,Evening,Video lectures,Rarely,Throughout the semester,3,2,No
BS AI,6,1.5,4.5,3.05,3.28,6.9,93.9,3.3,Sometimes,Morning,Mixed,Rarely,2–3 days before,5,1,Sometimes
BS Data Science,7,4.7,1.8,1.63,3.35,14.5,60.0,1.0,Never,Late night,Group study,Never,Throughout the semester,5,1,Sometimes
BS Data Science,5,4.4,1.5,3.26,3.31,13.9,93.1,1.8,Sometimes,Late night,Mixed,Often,2–3 days before,5,2,Sometimes
BS Data Science,5,1.9,3.5,2.12,3.16,7.1,88.3,1.2,Always,Late night,Mixed,Never,Last day,5,1,Sometimes
BS AI,5,1.8,1.9,2.24,2.35,7.5,82.5,3.2,Often,Late night,Mixed,Never,Last day,5,1,No
BSCS,1,4.6,2.8,1.91,3.75,10.3,79.9,1.4,Often,Afternoon,Mixed,Often,Throughout the semester,5,1,Yes
BS Mathematics,1,4.7,1.9,0.0,3.62,7.3,80.1,2.4,Sometimes,Late night,Video lectures,Sometimes,Throughout the semester,0,5,Sometimes
BS Mathematics,3,1.8,1.5,3.41,2.54,6.4,79.8,2.0,Sometimes,Evening,Video lectures,Often,1 week before,2,1,Sometimes
BS Data Science,2,1.6,4.0,4.0,3.3,5.9,86.8,4.1,Sometimes,Morning,Mixed,Rarely,1 week before,3,2,No
BS Software Engineering,6,1.9,3.2,2.25,3.75,6.7,87.7,0.7,Always,Morning,Video lectures,Rarely,1 week before,5,1,Yes
BS Software Engineering,2,1.6,2.5,2.28,3.23,7.1,92.5,1.5,Always,Evening,Mixed,Often,Throughout the semester,2,2,Yes
BS Data Science,7,5.3,1.5,2.99,3.26,12.0,78.9,2.7,Rarely,Late night,Video lectures,Always,2–3 days before,5,1,Yes
Docter of optometry,3,2.0,1.8,1.93,3.75,6.6,87.0,3.3,Rarely,Late night,Mixed,Sometimes,2–3 days before,5,3,Sometimes
BS Data Science,5,1.6,3.8,1.96,3.3,6.0,88.1,2.3,Always,Morning,Mixed,Never,2–3 days before,3,3,Yes
BS Accounting & finance,7,2.1,3.5,1.78,3.19,10.7,71.3,4.5,Often,Late night,Mixed,Rarely,Last day,5,1,No
BS Data Science,4,3.1,3.4,2.54,2.43,10.9,76.7,4.5,Often,Evening,Mixed,Often,1 week before,3,2,Yes
Radiology,5,1.5,4.1,4.0,3.6,6.9,97.5,1.1,Sometimes,Late night,Mixed,Sometimes,1 week before,5,1,Sometimes
BS Mathematics,5,4.7,2.2,3.3,3.35,14.5,92.5,2.0,Sometimes,Morning,Mixed,Rarely,Last day,2,2,Sometimes
BS Data Science,2,3.1,1.5,0.0,2.25,5.8,77.7,2.8,Often,Late night,Mixed,Often,2–3 days before,5,1,Yes
BSCS,6,5.4,1.5,3.13,3.75,6.9,97.5,2.0,Rarely,Morning,Mixed,Often,2–3 days before,5,3,Sometimes
BBA,4,1.7,3.9,3.55,3.27,6.2,97.3,3.4,Sometimes,Morning,Mixed,Sometimes,1 week before,3,3,Yes
Radiology,4,1.5,3.1,3.13,3.23,6.0,94.4,3.6,Sometimes,Evening,Video lectures,Often,Last day,4,5,Sometimes
BS Computer Science,5,1.5,3.6,4.0,3.21,6.8,63.2,2.0,Sometimes,Evening,Video lectures,Sometimes,2–3 days before,3,4,No
BS Software Engineering,3,5.5,4.5,3.47,2.39,7.1,78.0,3.2,Rarely,Late night,Mixed,Sometimes,Throughout the semester,5,1,Sometimes
BS Data Science,5,1.5,4.5,4.0,2.56,5.8,88.0,4.1,Sometimes,Morning,Practice questions,Always,1 week before,3,1,Yes
BS Data Science,3,1.9,3.6,3.5,3.26,9.0,92.6,1.2,Sometimes,Evening,Video lectures,Sometimes,2–3 days before,5,2,Yes
BS Computer Science,4,1.7,3.3,0.0,3.36,7.0,82.9,3.0,Sometimes,Morning,Mixed,Never,Last day,4,3,Yes
BS Data Science,6,1.9,4.5,2.45,3.75,6.6,81.5,2.4,Often,Late night,Mixed,Sometimes,1 week before,3,4,Sometimes
Docter of optometry,2,5.5,3.7,1.96,3.32,6.6,92.1,3.8,Sometimes,Evening,Mixed,Sometimes,2–3 days before,3,3,Yes
BS Data Science,4,1.8,4.5,3.22,3.37,6.6,87.6,4.5,Sometimes,Evening,Mixed,Sometimes,1 week before,3,1,Yes
BS Data Science,6,5.3,1.5,2.39,3.29,6.1,81.6,3.1,Rarely,Morning,Mixed,Rarely,Throughout the semester,5,1,No
BS AI,7,1.9,2.2,2.87,3.27,14.5,74.2,1.5,Sometimes,Morning,Mixed,Rarely,Last day,5,1,Sometimes
BS Software Engineering,4,4.6,1.5,4.0,3.75,10.7,97.5,1.1,Sometimes,Morning,Mixed,Often,1 week before,1,5,Sometimes
BS AI,1,5.0,1.8,2.48,3.67,6.8,83.2,1.6,Sometimes,Evening,Mixed,Sometimes,Throughout the semester,0,4,Sometimes
DPT,5,2.0,3.8,2.1,3.22,6.8,83.7,3.8,Rarely,Late night,Video lectures,Rarely,1 week before,0,5,Sometimes
BS Computer Science,5,1.5,3.6,3.7,3.52,7.0,93.9,4.5,Sometimes,Late night,Mixed,Rarely,Throughout the semester,5,3,Yes
BS Software Engineering,3,1.5,1.8,2.81,3.32,12.7,91.8,1.4,Always,Evening,Mixed,Often,Last day,5,1,Sometimes
BS AI,1,1.5,4.5,2.47,2.87,6.5,84.0,4.5,Often,Late night,Mixed,Sometimes,Last day,5,2,Sometimes
BS Data Science,2,1.9,3.1,3.44,2.25,7.2,82.9,4.5,Rarely,Late night,Video lectures,Often,Throughout the semester,1,1,Sometimes
BS Data Science,1,5.5,3.5,0.0,3.24,2.5,72.5,0.0,Sometimes,Morning,Group study,Sometimes,1 week before,5,1,Yes
DPT,4,5.5,3.9,2.42,3.34,7.0,79.3,4.5,Rarely,Late night,Mixed,Sometimes,1 week before,0,1,Sometimes
BS Data Science,6,1.8,3.1,0.0,3.23,5.7,93.8,4.5,Sometimes,Morning,Video lectures,Often,Last day,5,1,Yes
BS Data Science,4,1.5,1.9,2.96,3.31,5.7,95.4,3.6,Never,Afternoon,Mixed,Never,Last day,2,2,No
BS Software Engineering,5,1.7,3.5,2.47,2.86,10.7,92.6,4.5,Often,Late night,Reading notes,Rarely,1 week before,4,5,Yes
BBA,4,1.5,4.5,2.49,3.75,6.4,78.4,1.7,Always,Late night,Mixed,Rarely,Throughout the semester,2,2,Sometimes
BS Software Engineering,5,1.5,3.6,3.9,3.36,7.3,85.6,2.0,Often,Morning,Video lectures,Never,Last day,2,1,Yes
BS Data Science,2,1.5,3.7,2.29,3.23,12.0,85.0,3.6,Rarely,Late night,Mixed,Sometimes,1 week before,4,3,Sometimes
Docter of optometry,1,1.7,3.4,4.0,3.12,5.5,80.2,4.0,Sometimes,Evening,Mixed,Never,2–3 days before,5,1,Sometimes
BS Data Science,1,1.5,3.7,3.02,3.7,7.0,65.9,2.4,Sometimes,Morning,Mixed,Never,2–3 days before,5,1,No
BS Data Science,6,1.6,3.6,4.0,3.71,6.7,90.3,3.9,Sometimes,Morning,Mixed,Rarely,1 week before,5,1,Sometimes
Radiology,2,1.6,3.4,4.0,3.61,6.2,96.0,3.3,Sometimes,Evening,Group study,Sometimes,1 week before,4,2,Yes
BS Software Engineering,3,5.4,2.8,2.48,3.53,6.3,81.7,0.7,Rarely,Afternoon,Mixed,Never,Throughout the semester,4,2,Sometimes
BS Data Science,3,1.7,3.9,2.36,3.19,6.1,97.5,4.5,Often,Late night,Mixed,Sometimes,1 week before,5,1,Yes
BS Data Science,5,3.9,2.3,2.48,3.3,6.5,89.1,2.2,Often,Late night,Mixed,Sometimes,1 week before,0,5,Sometimes
BS Accounting & finance,2,5.5,1.5,2.15,2.6,10.7,82.1,0.0,Rarely,Evening,Mixed,Often,Throughout the semester,0,4,Sometimes
BS Accounting & finance,2,1.8,4.3,3.3,3.26,6.4,77.7,1.0,Never,Late night,Practice questions,Never,2–3 days before,3,2,Sometimes
BS AI,5,1.9,3.8,2.01,3.14,6.9,94.2,3.0,Often,Late night,Mixed,Rarely,Last day,3,2,Sometimes
BS Mathematics,1,1.7,3.3,2.37,3.23,6.7,81.6,1.0,Sometimes,Late night,Mixed,Rarely,1 week before,5,1,No
BS English,5,5.4,4.3,3.54,3.63,5.7,97.5,0.8,Sometimes,Morning,Video lectures,Rarely,1 week before,5,3,Sometimes
BS Data Science,4,1.8,1.5,1.95,3.67,6.7,82.9,3.3,Rarely,Late night,Mixed,Rarely,Throughout the semester,5,3,Sometimes
